iter,fitness
0,378
1,367
2,351
3,351
4,351
5,351
6,351
7,351
8,349
9,349
10,320
11,320
12,320
13,320
14,320
15,320
16,319
17,319
18,319
19,300
20,300
21,300
22,299
23,299
24,279
25,279
26,279
27,279
28,279
29,279
30,279
31,279
32,277
33,277
34,277
35,277
36,277
37,277
38,277
39,277
40,277
41,277
42,277
43,277
44,277
45,277
46,277
47,277
48,277
49,277
50,277
51,277
52,277
53,277
54,277
55,277
56,277
57,277
58,277
59,277
60,277
61,277
62,277
63,277
64,277
65,270
66,270
67,270
68,270
69,266
70,266
71,266
72,266
73,224
74,224
75,224
76,224
77,224
78,224
79,224
80,224
81,224
82,224
83,224
84,224
85,223
86,223
87,223
88,223
89,223
90,223
91,223
92,223
93,223
94,223
95,223
96,223
97,223
98,223
99,223
100,223
101,223
102,223
103,223
104,223
105,223
106,223
107,223
108,223
109,223
110,223
111,223
112,223
113,208
114,208
115,208
116,208
117,208
118,208
119,208
120,208
121,208
122,208
123,208
124,208
125,208
126,208
127,208
128,208
129,208
130,208
131,188
132,188
133,188
134,188
135,188
136,188
137,188
138,188
139,188
140,188
141,188
142,188
143,188
144,188
145,188
146,188
147,188
148,188
149,188
150,188
151,188
152,188
153,188
154,188
155,188
156,188
157,188
158,188
159,188
160,188
161,188
162,188
163,188
164,188
165,188
166,188
167,188
168,188
169,188
170,188
171,188
172,188
173,188
174,188
175,188
176,188
177,188
178,188
179,188
180,188
181,188
182,188
183,188
184,188
185,188
186,188
187,188
188,188
189,188
190,188
191,188
192,188
193,188
194,188
195,188
196,188
197,188
198,188
199,188
